GEOID,district,total,white,black,latino,other,adjtotal,adjwhite,adjblack,adjlatino,adjother,cvap,cvap_margin_of_error
040030002033,19,891,717,8,125,41,896.7106,721.4221,8.117184,125.9695,41.20171,786,162
040030003011,19,1025,765,22,178,60,1031.716,769.7181,22.32226,179.3806,60.29519,948,271
040030003012,19,1146,820,29,211,86,1153.542,825.0574,29.4248,212.6366,86.42312,814,249
040030003013,19,770,513,20,162,75,775.0824,516.164,20.29296,163.2565,75.36899,586,221
040030003014,19,1088,716,26,275,71,1095.279,720.416,26.38085,277.133,71.34931,916,206
040030003031,19,944,737,19,116,72,950.0777,741.5455,19.27831,116.8997,72.35423,738,272
040030003032,19,1359,1009,15,197,138,1367.65,1015.223,15.21972,198.528,138.6789,1042,211
040030003033,19,1097,886,10,126,75,1103.957,891.4645,10.14648,126.9773,75.36899,819,245
040030003041,19,1446,1077,28,216,125,1455.343,1083.642,28.41014,217.6753,125.615,819,207
040030003042,19,882,724,2,113,43,887.5827,728.4653,2.029296,113.8765,43.21155,534,195
040030003051,19,512,427,8,42,35,515.2487,429.6336,8.117184,42.32576,35.1722,603,277
040030003052,19,1207,1003,6,125,73,1214.603,1009.186,6.087888,125.9695,73.35915,555,182
040030003053,19,962,854,4,65,39,968.0217,859.267,4.058592,65.50415,39.19187,568,166
040030004001,19,1053,828,13,138,74,1059.732,833.1067,13.19042,139.0703,74.36407,947,178
040030004002,19,1031,781,4,180,66,1037.596,785.8169,4.058592,181.3961,66.32471,705,127
040030005011,19,1214,961,18,175,60,1221.843,966.927,18.26366,176.3573,60.29519,919,164
040030005012,19,710,392,4,286,28,714.8323,394.4177,4.058592,288.2183,28.13776,481,101
040030005021,19,921,681,20,177,43,927.0775,685.2001,20.29296,178.3729,43.21155,782,147
040030005031,19,2063,834,297,826,106,-26.23563,28.17269,-10.14648,-16.1241,-28.13775,2761,497
040030006001,19,1351,506,22,772,51,1360.682,509.1208,22.32226,777.9878,51.25092,1519,477
040030006002,19,1249,59,3,1176,11,1258.583,59.36389,3.043944,1185.121,11.05412,921,474
040030007001,19,1389,77,14,1290,8,1399.725,77.4749,14.20507,1300.006,8.039359,731,232
040030007002,19,873,35,5,830,3,879.7415,35.21587,5.07324,836.4377,3.01476,565,238
040030007003,19,1004,106,11,879,8,1011.672,106.6538,11.16113,885.8177,8.039359,634,195
040030007004,19,1567,102,3,1435,27,1578.936,102.6291,3.043944,1446.13,27.13284,935,227
040030008001,19,1523,182,10,1307,24,1534.524,183.1225,10.14648,1317.137,24.11808,910,303
040030008002,19,1114,87,11,976,40,1122.465,87.53657,11.16113,983.5701,40.1968,685,253
040030008003,19,1141,42,8,1064,27,1149.762,42.25904,8.117184,1072.253,27.13284,859,309
040030008004,19,1352,50,2,1281,19,1362.367,50.30838,2.029296,1290.936,19.09348,489,191
040030009011,19,856,38,1,812,5,862.5717,38.23437,1.014648,818.298,5.0246,334,192
040030009012,19,1021,61,5,948,7,1028.837,61.37622,5.07324,955.3529,7.03444,520,148
040030009013,19,600,30,6,562,2,604.6417,30.18503,6.087888,566.359,2.00984,423,173
040030009014,19,828,15,4,799,10,834.3975,15.09251,4.058592,805.1972,10.0492,335,147
040030009021,19,856,24,16,807,9,862.6859,24.14802,16.23437,813.2592,9.044278,526,203
040030009022,19,952,47,2,892,11,959.2918,47.28988,2.029296,898.9185,11.05412,632,246
040030009023,19,876,67,2,794,13,882.6649,67.41322,2.029296,800.1584,13.06396,430,151
040030010001,21,824,601,23,162,38,829.4871,604.7067,23.3369,163.2565,38.18695,1008,218
040030010002,21,640,495,7,101,37,644.1209,498.0529,7.102536,101.7834,37.18203,546,194
040030011001,21,869,581,8,242,38,874.7645,584.5834,8.117184,243.877,38.18696,450,112
040030011002,21,1631,678,17,873,63,1642.512,682.1816,17.24902,879.7711,63.30995,1151,226
040030011003,21,603,390,5,178,30,607.0068,392.4053,5.07324,179.3806,30.1476,570,167
040030012001,21,969,580,11,307,71,975.4688,583.5772,11.16113,309.3812,71.34931,1009,275
040030012002,21,1005,387,18,562,38,1012.196,389.3868,18.26366,566.359,38.18695,764,182
040030012003,21,779,321,4,406,48,784.4236,322.9798,4.058592,409.149,48.23615,671,179
040030013011,19,1900,1420,48,322,110,1912.5,1428.758,48.7031,324.4975,110.5412,1381,343
